remote_share,remote_attrition_coef,rep,seed,velocity,total_velocity,avg_wait,blockers_resolved,completed_tasks,mean_skill,attrition_count
0.4,0.0,4,1000000401004,704,16974,1.6819984139571769,1261,6204,0.8958217087180685,1
0.4,0.0,5,1000000401005,706,16979,1.6731234866828086,1239,6202,0.8713770020395298,2
0.4,0.0,6,1000000401006,711,16963,1.7002437043054428,1231,6249,0.8963776182272968,0
0.4,0.0,7,1000000401007,711,17012,1.6366639141205614,1211,6197,0.8948739606070578,1
0.4,0.0,8,1000000401008,724,16988,1.6728744939271256,1235,6168,0.8813401917116085,2
0.4,0.0,9,1000000401009,707,16962,1.6496465043205029,1273,6248,0.848864446193662,3
0.4,0.0,10,1000000401010,721,17003,1.661251015434606,1231,6144,0.8961930663441289,0
0.4,0.0,11,1000000401011,715,16915,1.827782290820471,1231,6188,0.885429108598659,2
0.4,0.0,12,1000000401012,710,16955,1.7610759493670887,1264,6085,0.8616050102041578,2
0.4,0.0,13,1000000401013,713,16951,1.7302737520128824,1242,6206,0.8781209703576097,1
0.4,0.0,14,1000000401014,711,17000,1.6765888978278358,1243,6166,0.8951443119301231,1
0.4,0.0,15,1000000401015,709,16965,1.694794952681388,1268,6168,0.87342642900119,3
0.4,0.0,16,1000000401016,709,16948,1.7102584181675802,1277,6190,0.8893221177327282,1
0.4,0.0,17,1000000401017,701,16958,1.7493775933609959,1205,6182,0.8930721067360909,2
0.4,0.0,18,1000000401018,719,16992,1.6796116504854368,1236,6222,0.881027353571026,1
0.4,0.0,19,1000000401019,723,16979,1.7005559968228754,1259,6132,0.8965008726467479,0
0.6,0.0,0,1000000601000,702,16877,1.8715447154471545,1230,6169,0.8381961168556824,2
0.6,0.0,1,1000000601001,707,16885,1.9036437246963562,1235,6105,0.8950491689149992,1
0.6,0.0,2,1000000601002,698,16943,1.8226221079691516,1167,6172,0.8952226306075447,0
0.6,0.0,3,1000000601003,708,16884,1.8484126984126985,1260,6127,0.8910197986585862,1
0.6,0.0,4,1000000601004,710,16924,1.785540211210398,1231,6193,0.8883753847299868,2
0.6,0.0,5,1000000601005,708,16895,1.8379446640316206,1265,6129,0.8574344867646359,2
0.6,0.0,6,1000000601006,708,16865,1.9632052330335241,1223,6061,0.8427617792944936,2
0.6,0.0,7,1000000601007,712,16914,1.7933753943217665,1268,6148,0.8878171571008474,2
0.6,0.0,8,1000000601008,706,16885,1.8349358974358974,1248,6197,0.8953340792993565,2
0.6,0.0,9,1000000601009,717,16830,1.8966292134831462,1335,6105,0.8898812234757129,2
0.6,0.0,10,1000000601010,721,16871,1.8984689766317486,1241,6139,0.885818050666877,2
0.6,0.0,11,1000000601011,715,16871,1.944991789819376,1218,6082,0.8740038140367258,2
0.6,0.0,12,1000000601012,715,16894,1.9116666666666666,1200,6122,0.8747903916003841,3
0.6,0.0,13,1000000601013,709,16922,1.7724358974358974,1248,6182,0.8962984036377989,0
0.6,0.0,14,1000000601014,713,16865,2.00671704450042,1191,6072,0.8921911977706094,1
0.6,0.0,15,1000000601015,710,16931,1.7568,1250,6187,0.8965941356605706,0
0.6,0.0,16,1000000601016,706,16869,1.865492393915132,1249,6203,0.8961791245154517,0
0.6,0.0,17,1000000601017,710,16854,1.851213782302271,1277,6208,0.8900892200538131,4
0.6,0.0,18,1000000601018,691,16874,1.8050652340752111,1303,6160,0.8962937309478027,0
0.6,0.0,19,1000000601019,700,16860,1.85234375,1280,6162,0.8691248137168917,3
0.8,0.0,0,1000000801000,727,16807,2.031784841075795,1227,6104,0.8956674712880277,0
0.8,0.0,1,1000000801001,723,16827,2.121238177128117,1163,6018,0.8425576370884776,2
