remote_share,block_prob,rep,seed,velocity,avg_wait,blockers_resolved,completed_tasks
0.2,0.05,16,502800,647,2.134453781512605,119,235
0.2,0.05,17,502900,641,2.3,110,231
0.2,0.05,18,503000,631,2.4245283018867925,106,242
0.2,0.05,19,503100,637,2.2882882882882885,111,236
0.4,0.05,0,501400,633,2.9555555555555557,90,234
0.4,0.05,1,501500,616,2.8378378378378377,111,220
0.4,0.05,2,501600,608,3.1649484536082473,97,230
0.4,0.05,3,501700,606,2.963636363636364,110,224
0.4,0.05,4,501800,610,3.017391304347826,115,205
0.4,0.05,5,501900,607,2.7542372881355934,118,228
0.4,0.05,6,502000,635,2.6372549019607843,102,232
0.4,0.05,7,502100,614,2.62992125984252,127,216
0.4,0.05,8,502200,624,2.803921568627451,102,244
0.4,0.05,9,502300,601,2.761904761904762,126,220
0.4,0.05,10,502400,626,2.8823529411764706,102,211
0.4,0.05,11,502500,609,2.735042735042735,117,221
0.4,0.05,12,502600,608,3.0,111,220
0.4,0.05,13,502700,626,2.4414414414414414,111,264
0.4,0.05,14,502800,613,2.8867924528301887,106,223
0.4,0.05,15,502900,636,2.3306451612903225,124,230
0.4,0.05,16,503000,611,2.773109243697479,119,235
0.4,0.05,17,503100,593,3.256637168141593,113,221
0.4,0.05,18,503200,628,2.6944444444444446,108,212
0.4,0.05,19,503300,611,2.8157894736842106,114,223
0.6,0.05,0,501600,590,3.393939393939394,99,225
0.6,0.05,1,501700,606,3.196078431372549,102,224
0.6,0.05,2,501800,602,3.3063063063063063,111,200
0.6,0.05,3,501900,616,2.6952380952380954,105,232
0.6,0.05,4,502000,598,3.47,100,220
0.6,0.05,5,502100,593,2.9838709677419355,124,209
0.6,0.05,6,502200,594,2.9734513274336285,113,234
0.6,0.05,7,502300,590,3.533980582524272,103,214
0.6,0.05,8,502400,594,3.1404958677685952,121,200
0.6,0.05,9,502500,595,3.0256410256410255,117,217
0.6,0.05,10,502600,599,3.603960396039604,101,217
0.6,0.05,11,502700,599,3.329896907216495,97,255
0.6,0.05,12,502800,603,2.5873015873015874,126,218
0.6,0.05,13,502900,608,3.287128712871287,101,219
0.6,0.05,14,503000,611,3.009433962264151,106,235
0.6,0.05,15,503100,577,3.6435643564356437,101,217
0.6,0.05,16,503200,606,2.7459016393442623,122,204
0.6,0.05,17,503300,610,2.7131147540983607,122,222
0.6,0.05,18,503400,572,3.6608695652173915,115,205
0.6,0.05,19,503500,623,2.5526315789473686,114,229
